name,manufacturer,category,family,price_chf,wattage,kelvin,inside,outside,mounting,luminaire_types,image_url,product_id,source_article_id,source_article_number,kelvin_values,source_l_number,source_version,memory_type,lambda,style,mood,finish
TRY 2A/M 50-840-88 EM,Performance In Lighting - Italy,,,549.0,53.0,4000.0,True,False,ceiling,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/TRY_2AM_angle_01.jpg,article_7,7,2.306848,4000,120001,1,hard,0.01,minimalist,focused,white
DL150LED SB 12 C/EW 830 WH9016 OP,Performance In Lighting - Italy,Einbauspot,DLSB,199.0,13.0,3000.0,True,False,ceiling,"down_light, recessed, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/dl150_led_sb.jpg,article_8,8,2.815711233001,3000,100467,1,hard,0.01,minimalist,ambient,white
DL150LED SB 17 C/EW 840 WH9016 OP,Performance In Lighting - Italy,Einbauspot,DLSB,206.0,19.0,4000.0,True,False,ceiling,"down_light, recessed, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/dl150_led_sb.jpg,article_9,9,2.815711834001,4000,100421,1,hard,0.01,minimalist,focused,white
DL185LED SB 16 C/EW 830 WH9016 OP,Performance In Lighting - Italy,Einbauspot,DLSB,219.0,18.0,3000.0,True,False,ceiling,"down_light, recessed, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/dl185_led_sb.jpg,article_10,10,2.818711633001,3000,100440,1,hard,0.01,minimalist,ambient,white
SL629LED PL L 62 S/C 840 WH9016 DALI MP,Performance In Lighting - Italy,Pendelleuchte,SL629,592.0,69.0,4000.0,True,False,,"rope_pendant, suspended",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/pl629_prisma_RAL9016_lp.jpg,article_11,11,2.8629461786410,4000,100134,1,hard,0.01,minimalist,focused,white
SL629LED PL L 62 S/C 840 WH9016 MP,Performance In Lighting - Italy,Pendelleuchte,SL629,527.0,69.0,4000.0,True,False,,"rope_pendant, suspended",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/pl629_prisma_RAL9016_lp.jpg,article_12,12,2.8629461783410,4000,100135,1,hard,0.01,minimalist,focused,white
SL740L LED 71 S/D 840 GR9006 SEIR MP,Performance In Lighting - Italy,Stehleuchte,SL740,1743.0,79.0,4000.0,True,False,floor,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/sl740_led_l_RAL9006.jpg,article_13,13,2.8740761938431,4000,100431,1,hard,0.01,minimalist,focused,white
BLIZ ROUND 30 LED 30W 3K AN96,Performance In Lighting - Italy,,,348.0,30.0,3000.0,False,True,"ceiling, wall",,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/BLIZ_ROUND_30_front_AN3_01_lp.jpg,article_14,14,2.304213,3000,100259,1,hard,0.01,minimalist,ambient,white
SUPERDELTA 33 SCHWARZ,Performance In Lighting - Italy,,,137.0,75.0,,False,True,wall,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/SPD_OVALE_BK1_lp.jpg,article_15,15,2.001804,,100545,1,hard,0.01,minimalist,ambient,matte black
SL630LED SM M 36 S/A 830 WH9016 MP,Performance In Lighting - Italy,Deckenanbauleuchte,SL630,518.0,40.0,3000.0,True,False,ceiling,,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/al630_prisma_RAL9016_lp.jpg,article_16,16,2.8630661453310,3000,100560,1,hard,0.01,minimalist,ambient,white
