id,l_number,article_number,price_pp_chf,price_sp_chf,hero_image_url,very_short_description_de,short_description_de
7,120001,2.306848,175.15,549,images/TRY_2AM_angle_01.jpg,TRY 2A/M 50-840-88 EM,LED-Lichteinsätze 4000K 53W statisch Notlicht 3h asymmetrische mittlere Optik
8,100467,2.815711233001,60.75,199,images/dl150_led_sb.jpg,DL150LED SB 12 C/EW 830 WH9016 OP,LED-Downlight 3000K 13W statisch opalweisser Diffusor
9,100421,2.815711834001,62.85,206,images/dl150_led_sb.jpg,DL150LED SB 17 C/EW 840 WH9016 OP,LED-Downlight 4000K 19W statisch opalweisser Diffusor
10,100440,2.818711633001,67,219,images/dl185_led_sb.jpg,DL185LED SB 16 C/EW 830 WH9016 OP,LED-Downlight 3000K 18W statisch opalweisser Diffusor
11,100134,2.8629461786410,189,592,images/pl629_prisma_RAL9016_lp.jpg,SL629LED PL L 62 S/C 840 WH9016 DALI MP,LED-Pendelleuchte 4000K 69W DALI Mikroprisma d+i
21,100855,2.310553,7.7,31,images/310553_lp.jpg,Coperchio PC RAIL L:1435 - TRY,Abdeckung PC RAIL - L 1435 mm
12,100135,2.8629461783410,167.65,527,images/pl629_prisma_RAL9016_lp.jpg,SL629LED PL L 62 S/C 840 WH9016 MP,LED-Pendelleuchte 4000K 69W statisch Mikroprisma d+i
13,100431,2.8740761938431,565.2,1743,images/sl740_led_l_RAL9006.jpg,SL740L LED 71 S/D 840 GR9006 SEIR MP,LED-Stehleuchte 4000K 79W Lichtsensor Mikroprisma d+i
14,100259,2.304213,109.4,348,images/BLIZ_ROUND_30_front_AN3_01_lp.jpg,BLIZ ROUND 30 LED 30W 3K AN96,LED-Wand- und Deckenleuchte 3000K 30W statisch sym. extrabreite Streuoptik
15,100545,2.001804,38.1,137,images/SPD_OVALE_BK1_lp.jpg,SUPERDELTA 33 SCHWARZ,Wandleuchte 1x75W A60 symmetrische extrabreite Streuoptik
22,100847,2.310554,27.5,110,images/RAIL_A_lp.jpg,RAIL-A TRY 5P L:1435,RAIL-A TRY 5P - L 1435 mm (inkl. 2 Halterungen aus Edelstahl)
16,100560,2.8630661453310,164.8,518,images/al630_prisma_RAL9016_lp.jpg,SL630LED SM M 36 S/A 830 WH9016 MP,LED-Anbauleuchte 3000K 40W statisch Mikroprisma
17,100725,2.8713661516414,204.9,641,images/flab713_round_m_RAL9016.png,SL713 RM SM 45 S/B 840 WH9016 DALI MP,LED-Anbauleuchte 4000K 49W DALI Mikroprisma d+i
18,100727,2.8713661486414,276.5,860,images/flab713_round_l_RAL9016.png,SL713 RL SM 41 S/B 840 WH9016 DALI MP,LED-Anbauleuchte 4000K 46W DALI Mikroprisma d+i
19,100726,2.8713661766414,286.2,889,images/flab713_round_l_RAL9016.png,SL713 RL SM 62 S/B 840 WH9016 DALI MP,LED-Anbauleuchte 4000K 70W DALI Mikroprisma d+i
20,100856,2.310551,4.05,13,images/TAPPI_CHIUSURA_lp.jpg,Testata chiusura per RAIL,Verschlusskappe für RAIL (nr. 2)
23,100848,2.310557,57.05,188,images/RAIL_M_lp.jpg,RAIL-M TRY 5P L:4305,RAIL-M TRY 5P - L 4305 mm (inkl. 6 Halterungen aus Edelstahl)
24,100851,2.310556,45.3,159,images/RAIL_M_lp.jpg,RAIL-M TRY 5P L:2870,RAIL-M TRY 5P - L 2870 mm (inkl. 4 Halterungen aus Edelstahl)
25,100871,2.001704,25.6,104,images/SPD_OVALE_BK1_lp.jpg,SUPERDELTA OVALE SCHWARZ 60W,Wandleuchte 1x60W A60 symmetrische extrabreite Streuoptik
26,100812,2.8629461786330,189,592,images/pl629_prisma_RAL9006_lp.jpg,SL629LED PL L 62 S/C 830 GR9006 DALI MP,LED-Pendelleuchte 3000K 69W DALI Mikroprisma d+i
27,100852,2.305661,89.25,287,images/TRY_S_EW_angle_01_lp.jpg,TRY S/EW 23-840-88,LED-Lichteinsätze 4000K 25W statisch symmetrische extrabreite Streuoptik
3657,112335,33.SPT1124.W13,34,92,images/rend_SPID_PRO_Schiene_ws.png,"SPID PRO, Tragschiene, L=1129 mm","SPID PRO, Tragschiene"
28,100846,2.305951,41.05,146,images/NORMA_P_ANGLE_01.JPG,NORMA+120 34 S/EW 840 GR-RAL7035,LED-Feuchtraumleuchte 4000K 34W statisch symmetrische extrabreite Streuoptik
29,100730,2.8713461766410,382.1,1183,images/flpl713_round_l_RAL9016.png,SL713 RL PL 62 S/C 840 WH9016 DALI MP,LED-Pendelleuchte 4000K 70W DALI Mikroprisma d+i
30,100895,2.810710934001,46.1,162,images/dl100_led_sb.jpg,DL100LED SB 9 C/EW 840 WH9016 OP,LED-Downlight 4000K 10W statisch opalweisser Diffusor
